segment_id,path,start,end
D:/_CV/VAD-Aug/VAD-Aug/speech\A114072141#6545#9005546056968164_0000192_0000448,D:/_CV/VAD-Aug/VAD-Aug/audio_output\A114072141#6545#9005546056968164.wav,1.92,4.48
D:/_CV/VAD-Aug/VAD-Aug/speech\A114072141#6545#9005546369033041_0000128_0000224,D:/_CV/VAD-Aug/VAD-Aug/audio_output\A114072141#6545#9005546369033041.wav,1.28,2.24
D:/_CV/VAD-Aug/VAD-Aug/speech\A114072141#6545#9005546452452676_0000096_0000224,D:/_CV/VAD-Aug/VAD-Aug/audio_output\A114072141#6545#9005546452452676.wav,0.96,2.24
