skill_name,count,user_id,number_of_utterances,percent(user | skill)
Horoscope,29,108,1,3.4482758620689653
Horoscope,29,253,1,3.4482758620689653
Horoscope,29,385,1,3.4482758620689653
Horoscope,29,6351,1,3.4482758620689653
Horoscope,29,7141,3,10.344827586206897
Horoscope,29,7864,1,3.4482758620689653
Horoscope,29,8815,5,17.24137931034483
Horoscope,29,13726,3,10.344827586206897
Horoscope,29,14547,1,3.4482758620689653
Horoscope,29,15096,3,10.344827586206897
Horoscope,29,15146,1,3.4482758620689653
Horoscope,29,15797,1,3.4482758620689653
Horoscope,29,18198,1,3.4482758620689653
Horoscope,29,18234,1,3.4482758620689653
Horoscope,29,20555,1,3.4482758620689653
Horoscope,29,20906,1,3.4482758620689653
Horoscope,29,21596,1,3.4482758620689653
Horoscope,29,22745,1,3.4482758620689653
Horoscope,29,22759,1,3.4482758620689653
Riddles,85,31,1,1.1764705882352942
Riddles,85,108,1,1.1764705882352942
Riddles,85,147,1,1.1764705882352942
Riddles,85,177,1,1.1764705882352942
Riddles,85,263,1,1.1764705882352942
Riddles,85,385,8,9.411764705882353
Riddles,85,497,1,1.1764705882352942
Riddles,85,857,3,3.5294117647058822
Riddles,85,866,1,1.1764705882352942
Riddles,85,1475,4,4.705882352941177
Riddles,85,2122,2,2.3529411764705883
Riddles,85,7170,1,1.1764705882352942
Riddles,85,7347,1,1.1764705882352942
Riddles,85,7879,1,1.1764705882352942
Riddles,85,8079,5,5.88235294117647
Riddles,85,11092,1,1.1764705882352942
Riddles,85,11246,4,4.705882352941177
Riddles,85,11870,1,1.1764705882352942
Riddles,85,13924,7,8.235294117647058
Riddles,85,14165,1,1.1764705882352942
Riddles,85,14681,1,1.1764705882352942
Riddles,85,15106,4,4.705882352941177
Riddles,85,15916,1,1.1764705882352942
Riddles,85,16586,2,2.3529411764705883
Riddles,85,17310,1,1.1764705882352942
Riddles,85,17835,11,12.941176470588237
Riddles,85,17995,4,4.705882352941177
Riddles,85,20906,1,1.1764705882352942
